Day,Time,Weather,Traffic,Quantity,Prize
Sunday,8,Good,Yes,1,2700
Sunday,9,Good,No,3,2300
Sunday,10,Worst,Yes,6,4600
Sunday,11,Worst,No,4,4370
Sunday,12,Better,Yes,3,3980
Sunday,13,Good,Yes,2,2800
Sunday,14,Worst,No,5,4250
Sunday,15,Better,Yes,2,3690
Sunday,16,Worst,No,6,4400
Sunday,17,Worst,No,4,4150
Sunday,18,Worst,No,3,4350
Monday,8,Worst,Yes,5,5000
Monday,9,Better,Yes,5,3740
Monday,10,Better,No,4,3330
Monday,11,Good,Yes,3,2870
Monday,12,Worst,Yes,6,4950
Monday,13,Good,No,1,2260
Monday,14,Worst,No,2,4010
Monday,15,Worst,No,5,4260
Monday,16,Worst,Yes,4,4800
Monday,17,Better,Yes,2,3700
Monday,18,Better,Yes,6,3970
Tuesday,8,Worst,Yes,4,4970
Tuesday,9,Good,Yes,3,2700
Tuesday,10,Good,Yes,5,2900
Tuesday,11,Better,No,1,3000
Tuesday,12,Good,Yes,6,2650
Tuesday,13,Better,No,2,3410
Tuesday,14,Better,No,4,3100
Tuesday,15,Better,Yes,5,3550
Tuesday,16,Worst,No,5,4450
Tuesday,17,Good,Yes,3,2740
Tuesday,18,Good,Yes,3,3000
Wednesday,8,Better,No,5,3200
Wednesday,9,Better,Yes,4,3770
Wednesday,10,Good,No,2,2300
Wednesday,11,Good,No,2,2170
Wednesday,12,Better,Yes,3,3500
Wednesday,13,Worst,No,1,4300
Wednesday,14,Worst,No,6,4400
Wednesday,15,Better,Yes,5,3990
Wednesday,16,Good,No,4,2000
Wednesday,17,Good,Yes,3,2860
Wednesday,18,Better,No,5,3150
Thursday,8,Worst,Yes,3,4830
Thursday,9,Good,Yes,3,2780
Thursday,10,Better,No,4,3333
Thursday,11,Good,No,5,2300
Thursday,12,Better,Yes,1,3960
Thursday,13,Good,Yes,2,2660
Thursday,14,Worst,Yes,6,4700
Thursday,15,Worst,No,6,4200
Thursday,16,Good,No,5,2100
Thursday,17,Better,Yes,1,3850
Thursday,18,Better,Yes,3,3510
Friday,8,Better,No,5,3500
Friday,9,Worst,No,6,4200
Friday,10,Worst,Yes,1,4800
Friday,11,Good,Yes,3,2510
Friday,12,Better,No,5,3250
Friday,13,Good,Yes,2,2900
Friday,14,Better,Yes,1,3900
Friday,15,Worst,No,3,4490
Friday,16,Worst,No,6,4320
Friday,17,Worst,Yes,4,4750
Friday,18,Better,Yes,3,3600
Saturday,8,Good,No,5,2350
Saturday,9,Good,Yes,1,2600
Saturday,10,Worst,No,3,4350
Saturday,11,Better,Yes,2,4000
Saturday,12,Good,No,5,3100
Saturday,13,Better,Yes,1,3880
Saturday,14,Better,Yes,2,3640
Saturday,15,Worst,Yes,5,4650
Saturday,16,Good,No,1,2370
Saturday,17,Good,No,6,2350
Saturday,18,Better,Yes,3,3637
