Day,Time,Weather,Traffic,Quantity,Price
Sunday,8,Good,1,6,2856
Sunday,9,Good,0,5,2450
Sunday,10,Worst,1,2,4895
Sunday,11,Worst,0,1,4420
Sunday,12,Better,1,5,3589
Sunday,13,Good,1,2,2598
Sunday,14,Worst,0,3,4500
Sunday,15,Better,1,4,3598
Sunday,16,Worst,0,4,4400
Sunday,17,Worst,0,6,4325
Sunday,18,Worst,0,2,4125
Monday,8,Good,1,3,4789
Monday,9,Good,0,5,3895
Monday,10,Worst,1,4,3450
Monday,11,Worst,0,6,2689
Monday,12,Better,1,5,4789
Monday,13,Good,1,3,2300
Monday,14,Worst,0,2,4250
Monday,15,Better,1,4,4236
Monday,16,Worst,0,6,4789
Monday,17,Worst,0,2,3560
Monday,18,Worst,0,3,3652
Tuesday,8,Worst,1,4,4895
Tuesday,9,Good,1,2,2756
Tuesday,10,Good,1,3,2789
Tuesday,11,Better,0,2,3400
Tuesday,12,Good,1,5,2856
Tuesday,13,Good,0,6,3456
Tuesday,14,Better,0,4,3400
Tuesday,15,Better,1,6,3895
Tuesday,16,Worst,0,2,4256
Tuesday,17,Good,1,3,2896
Tuesday,18,Good,1,4,2800
Wednesday,8,Better,0,3,3500
Wednesday,9,Better,1,6,3600
Wednesday,10,Good,0,1,2410
Wednesday,11,Good,0,4,2400
Wednesday,12,Better,1,3,3850
Wednesday,13,Worst,0,5,4500
Wednesday,14,Worst,0,2,4400
Wednesday,15,Better,1,3,2785
Wednesday,16,Good,0,5,2455
Wednesday,17,Good,1,2,2856
Wednesday,18,Better,0,1,3445
Thursday,8,Worst,1,6,4789
Thursday,9,Good,1,4,2850
Thursday,10,Better,0,6,3500
Thursday,11,Good,0,1,2440
Thursday,12,Better,1,6,3895
Thursday,13,Good,0,6,2410
Thursday,14,Worst,1,4,4795
Thursday,15,Worst,0,2,4350
Thursday,16,Good,0,3,2321
Thursday,17,Better,1,4,3756
Thursday,18,Better,1,2,3954
Friday,8,Better,0,6,3451
Friday,9,Worst,0,3,4500
Friday,10,Worst,1,5,5000
Friday,11,Good,1,4,2750
Friday,12,Better,0,1,3200
Friday,13,Good,1,4,2850
Friday,14,Better,1,2,3652
Friday,15,Worst,0,3,4000
Friday,16,Worst,0,4,4352
Friday,17,Worst,1,6,4987
Friday,18,Better,1,3,3895
Saturday,8,Good,0,5,2450
Saturday,9,Good,1,2,2895
Saturday,10,Worst,0,3,4325
Saturday,11,Better,1,6,3895
Saturday,12,Good,0,4,2451
Saturday,13,Better,1,5,3895
Saturday,14,Better,1,6,3678
Saturday,15,Worst,1,1,4895
Saturday,16,Good,0,2,2500
Saturday,17,Good,0,3,2500
Saturday,18,Better,1,4,3965
