Day,Time,Weather,Traffic,Quantity,Prize
Sunday,8,Good,1,3,2855
Sunday,9,Good,0,2,2315
Sunday,10,Worst,1,2,4657
Sunday,11,Worst,0,5,4235
Sunday,12,Better,1,6,3764
Sunday,13,Good,1,1,2643
Sunday,14,Worst,0,3,4325
Sunday,15,Better,1,6,3753
Sunday,16,Worst,0,3,4234
Sunday,17,Worst,0,2,4354
Sunday,18,Worst,0,5,4234
Monday,8,Good,1,1,4967
Monday,9,Good,0,6,3777
Monday,10,Worst,1,5,3365
Monday,11,Worst,0,1,2766
Monday,12,Better,1,6,4688
Monday,13,Good,1,3,2455
Monday,14,Worst,0,3,4233
Monday,15,Better,1,4,4367
Monday,16,Worst,0,1,4954
Monday,17,Worst,0,1,3545
Monday,18,Worst,0,4,3747
Tuesday,8,Worst,1,2,4626
Tuesday,9,Good,1,4,2999
Tuesday,10,Good,1,1,2754
Tuesday,11,Better,0,6,3176
Tuesday,12,Good,1,1,2687
Tuesday,13,Good,0,4,3387
Tuesday,14,Better,0,2,3187
Tuesday,15,Better,1,6,3854
Tuesday,16,Worst,0,1,4487
Tuesday,17,Good,1,5,2753
Tuesday,18,Good,1,3,2654
Wednesday,8,Better,0,2,3333
Wednesday,9,Better,1,6,3855
Wednesday,10,Good,0,4,2276
Wednesday,11,Good,0,6,2335
Wednesday,12,Better,1,4,3746
Wednesday,13,Worst,0,1,4274
Wednesday,14,Worst,0,3,4436
Wednesday,15,Better,1,1,3584
Wednesday,16,Good,0,1,2263
Wednesday,17,Good,1,2,2846
Wednesday,18,Better,0,5,3267
Thursday,8,Worst,1,3,4775
Thursday,9,Good,1,3,2644
Thursday,10,Better,0,2,3222
Thursday,11,Good,0,2,2343
Thursday,12,Better,1,6,3678
Thursday,13,Good,0,5,2678
Thursday,14,Worst,1,25,4789
Thursday,15,Worst,0,3,4321
Thursday,16,Good,0,3,2345
Thursday,17,Better,1,1,3567
Thursday,18,Better,1,2,3678
Friday,8,Better,0,5,3432
Friday,9,Worst,0,6,4432
Friday,10,Worst,1,2,4987
Friday,11,Good,1,6,2876
Friday,12,Better,0,1,3123
Friday,13,Good,1,1,2569
Friday,14,Better,1,2,3890
Friday,15,Worst,0,2,4098
Friday,16,Worst,0,3,4234
Friday,17,Worst,1,5,4765
Friday,18,Better,1,1,3987
Saturday,8,Good,0,4,2456
Saturday,9,Good,1,1,2876
Saturday,10,Worst,0,6,4456
Saturday,11,Better,1,4,3666
Saturday,12,Good,0,2,2333
Saturday,13,Better,1,4,3888
Saturday,14,Better,1,2,3555
Saturday,15,Worst,1,6,4999
Saturday,16,Good,0,5,2222
Saturday,17,Good,0,3,2333
Saturday,18,Better,1,2,3777
